ID,state
453,RSK -- cMYC -- TCF -- CCND1
454,RSK -- cMYC -- TCF -- CCND1
455,RSK -- cMYC -- TCF -- CCND1
456,RSK -- cMYC -- TCF -- CCND1
457,RSK -- cMYC -- TCF -- CCND1
458,RSK -- cMYC -- TCF -- CCND1
459,RSK -- cMYC -- TCF -- CCND1
460,RSK -- cMYC -- TCF -- CCND1
461,RSK -- cMYC -- TCF -- CCND1
462,RSK -- cMYC -- TCF -- CCND1
463,RSK -- cMYC -- TCF -- CCND1
464,RSK -- cMYC -- TCF -- CCND1
465,RSK -- cMYC -- TCF -- CCND1
466,RSK -- cMYC -- TCF -- CCND1
467,RSK -- cMYC -- TCF -- CCND1
468,RSK -- cMYC -- TCF -- CCND1
469,RSK -- cMYC -- TCF -- CCND1
470,RSK -- cMYC -- TCF -- CCND1
471,RSK -- cMYC -- TCF -- CCND1
472,RSK -- cMYC -- TCF -- CCND1
473,RSK -- cMYC -- TCF -- CCND1
474,RSK -- cMYC -- TCF -- CCND1
475,RSK -- cMYC -- TCF -- CCND1
476,RSK -- cMYC -- TCF -- CCND1
477,RSK -- cMYC -- TCF -- CCND1
478,RSK -- cMYC -- TCF -- CCND1
479,RSK -- cMYC -- TCF -- CCND1
480,RSK -- cMYC -- TCF -- CCND1
481,RSK -- cMYC -- TCF -- CCND1
482,RSK -- cMYC -- TCF -- CCND1
483,RSK -- cMYC -- TCF -- CCND1
484,RSK -- cMYC -- TCF -- CCND1
485,RSK -- cMYC -- TCF -- CCND1
486,RSK -- cMYC -- TCF -- CCND1
487,RSK -- cMYC -- TCF -- CCND1
488,RSK -- cMYC -- TCF -- CCND1
489,RSK -- cMYC -- TCF -- CCND1
490,RSK -- cMYC -- TCF -- CCND1
491,RSK -- cMYC -- TCF -- CCND1
492,RSK -- cMYC -- TCF -- CCND1
493,RSK -- cMYC -- TCF -- CCND1
494,RSK -- cMYC -- TCF -- CCND1
495,RSK -- cMYC -- TCF -- CCND1
496,RSK -- cMYC -- TCF -- CCND1
497,RSK -- cMYC -- TCF -- CCND1
498,RSK -- cMYC -- TCF -- CCND1
499,RSK -- cMYC -- TCF -- CCND1
500,RSK -- cMYC -- TCF -- CCND1
501,RSK -- cMYC -- TCF -- CCND1
502,RSK -- cMYC -- TCF -- CCND1
503,RSK -- cMYC -- TCF -- CCND1
504,RSK -- cMYC -- TCF -- CCND1
505,RSK -- cMYC -- TCF -- CCND1
506,RSK -- cMYC -- TCF -- CCND1
507,RSK -- cMYC -- TCF -- CCND1
508,RSK -- cMYC -- TCF -- CCND1
509,RSK -- cMYC -- TCF -- CCND1
510,RSK -- cMYC -- TCF -- CCND1
511,RSK -- cMYC -- TCF -- CCND1
512,RSK -- cMYC -- TCF -- CCND1
513,RSK -- cMYC -- TCF -- CCND1
514,RSK -- cMYC -- TCF -- CCND1
515,RSK -- cMYC -- TCF -- CCND1
516,RSK -- cMYC -- TCF -- CCND1
517,RSK -- cMYC -- TCF -- CCND1
518,RSK -- cMYC -- TCF -- CCND1
519,RSK -- cMYC -- TCF -- CCND1
520,RSK -- cMYC -- TCF -- CCND1
521,RSK -- cMYC -- TCF -- CCND1
522,RSK -- cMYC -- TCF -- CCND1
523,RSK -- cMYC -- TCF -- CCND1
524,RSK -- cMYC -- TCF -- CCND1
525,RSK -- cMYC -- TCF -- CCND1
526,RSK -- cMYC -- TCF -- CCND1
527,RSK -- cMYC -- TCF -- CCND1
528,RSK -- cMYC -- TCF -- CCND1
529,RSK -- cMYC -- TCF -- CCND1
530,RSK -- cMYC -- TCF -- CCND1
531,RSK -- cMYC -- TCF -- CCND1
532,RSK -- cMYC -- TCF -- CCND1
533,RSK -- cMYC -- TCF -- CCND1
534,RSK -- cMYC -- TCF -- CCND1
535,RSK -- cMYC -- TCF -- CCND1
536,RSK -- cMYC -- TCF -- CCND1
537,RSK -- cMYC -- TCF -- CCND1
538,RSK -- cMYC -- TCF -- CCND1
539,RSK -- cMYC -- TCF -- CCND1
540,RSK -- cMYC -- TCF -- CCND1
541,RSK -- cMYC -- TCF -- CCND1
542,RSK -- cMYC -- TCF -- CCND1
543,RSK -- cMYC -- TCF -- CCND1
544,RSK -- cMYC -- TCF -- CCND1
545,RSK -- cMYC -- TCF -- CCND1
546,RSK -- cMYC -- TCF -- CCND1
547,RSK -- cMYC -- TCF -- CCND1
548,RSK -- cMYC -- TCF -- CCND1
549,RSK -- cMYC -- TCF -- CCND1
550,RSK -- cMYC -- TCF -- CCND1
551,RSK -- cMYC -- TCF -- CCND1
552,RSK -- cMYC -- TCF -- CCND1
553,RSK -- cMYC -- TCF -- CCND1
554,RSK -- cMYC -- TCF -- CCND1
